mitigation_id,mitigation_name,description,mitigates_technique_ids,url,matrix
AML.M0000,Limit Public Release of Information,"Limit the public release of technical information about the AI stack used in an organization's products or services. Technical knowledge of how AI is used can be leveraged by adversaries to perform targeting and tailor attacks to the target system. Additionally, consider limiting the release of organizational information - including physical locations, researcher names, and department structures - from which technical details such as AI techniques, model architectures, or datasets may be inferred.",AML.T0000|AML.T0003|AML.T0002|AML.T0004|AML.T0005|AML.T0005.000|AML.T0005.002,https://atlas.mitre.org/mitigations/AML.M0000/,atlas
AML.M0001,Limit Model Artifact Release,"Limit public release of technical project details including data, algorithms, model architectures, and model checkpoints that are used in production, or that are representative of those used in production.",AML.T0002.000|AML.T0002.001|AML.T0020|AML.T0005|AML.T0035|AML.T0005.000,https://atlas.mitre.org/mitigations/AML.M0001/,atlas
AML.M0002,Passive AI Output Obfuscation,Decreasing the fidelity of model outputs provided to the end user can reduce an adversary's ability to extract information about the model and optimize attacks for the model.,AML.T0013|AML.T0014|AML.T0024.000|AML.T0024.001|AML.T0024.002|AML.T0043|AML.T0043.001|AML.T0005|AML.T0042|AML.T0005.001|AML.T0063,https://atlas.mitre.org/mitigations/AML.M0002/,atlas
AML.M0003,Model Hardening,Use techniques to make AI models robust to adversarial inputs such as adversarial training or network distillation.,AML.T0015|AML.T0031|AML.T0043|AML.T0043.001|AML.T0043.002|AML.T0043.003|AML.T0043.000|AML.T0043.004,https://atlas.mitre.org/mitigations/AML.M0003/,atlas
AML.M0004,Restrict Number of AI Model Queries,Limit the total number and rate of queries a user can perform.,AML.T0034|AML.T0013|AML.T0014|AML.T0024|AML.T0024.000|AML.T0024.001|AML.T0024.002|AML.T0029|AML.T0046|AML.T0043|AML.T0043.001|AML.T0043.003|AML.T0005|AML.T0005.001|AML.T0042|AML.T0062,https://atlas.mitre.org/mitigations/AML.M0004/,atlas
AML.M0005,Control Access to AI Models and Data at Rest,Establish access controls on internal model registries and limit internal access to production models. Limit access to training data only to approved users.,AML.T0010.002|AML.T0020|AML.T0018.000|AML.T0018.001|AML.T0010.003|AML.T0025|AML.T0048.004|AML.T0018|AML.T0043.000|AML.T0007|AML.T0044|AML.T0035|AML.T0042,https://atlas.mitre.org/mitigations/AML.M0005/,atlas
AML.M0006,Use Ensemble Methods,Use an ensemble of models for inference to increase robustness to adversarial inputs. Some attacks may effectively evade one model or model family but be ineffective against others.,AML.T0031|AML.T0010.001|AML.T0010.003|AML.T0015|AML.T0014|AML.T0043.000|AML.T0043.001|AML.T0043.002|AML.T0043.004|AML.T0043.003|AML.T0043,https://atlas.mitre.org/mitigations/AML.M0006/,atlas
AML.M0007,Sanitize Training Data,Detect and remove or remediate poisoned training data.  Training data should be sanitized prior to model training and recurrently for an active learning model.  Implement a filter to limit ingested training data.  Establish a content policy that would remove unwanted content such as certain explicit or offensive language from being used.,AML.T0010.002|AML.T0020|AML.T0018.000|AML.T0059,https://atlas.mitre.org/mitigations/AML.M0007/,atlas
AML.M0008,Validate AI Model,"Validate that AI models perform as intended by testing for backdoor triggers, potential for data leakage, or adversarial influence. Monitor AI model for concept drift and training data drift, which may indicate data tampering and poisoning.",AML.T0010.003|AML.T0018.000|AML.T0018.001|AML.T0018|AML.T0043.004|AML.T0020|AML.T0057|AML.T0043,https://atlas.mitre.org/mitigations/AML.M0008/,atlas
AML.M0009,Use Multi-Modal Sensors,Incorporate multiple sensors to integrate varying perspectives and modalities to avoid a single point of failure susceptible to physical attacks.,AML.T0041|AML.T0015|AML.T0088,https://atlas.mitre.org/mitigations/AML.M0009/,atlas
AML.M0010,Input Restoration,Preprocess all inference data to nullify or reverse potential adversarial perturbations.,AML.T0043.001|AML.T0015|AML.T0031|AML.T0043|AML.T0043.002|AML.T0043.004|AML.T0043.000|AML.T0043.003,https://atlas.mitre.org/mitigations/AML.M0010/,atlas
AML.M0011,Restrict Library Loading,Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.  File formats such as pickle files that are commonly used to store AI models can contain exploits that allow for loading of malicious libraries.,AML.T0011.000|AML.T0011.001|AML.T0011,https://atlas.mitre.org/mitigations/AML.M0011/,atlas
AML.M0012,Encrypt Sensitive Information,Encrypt sensitive data such as AI models to protect against adversaries attempting to access sensitive data.,AML.T0035|AML.T0048.004|AML.T0007|AML.T0063,https://atlas.mitre.org/mitigations/AML.M0012/,atlas
AML.M0013,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing. Adversaries can embed malicious code in AI software or models. Developers should also cryptographically sign SBOM and AIBOM components that track model or data provenance. Enforcement of code signing can prevent the compromise of the AI supply chain and prevent execution of malicious code.,AML.T0011.000|AML.T0010.001|AML.T0010.003|AML.T0018|AML.T0018.000|AML.T0018.001|AML.T0018.002|AML.T0011.001,https://atlas.mitre.org/mitigations/AML.M0013/,atlas
AML.M0014,Verify AI Artifacts,Verify the cryptographic checksum of all AI artifacts to verify that the file was not modified by an attacker.,AML.T0019|AML.T0011.000|AML.T0010|AML.T0010.002|AML.T0002.001|AML.T0011,https://atlas.mitre.org/mitigations/AML.M0014/,atlas
AML.M0015,Adversarial Input Detection,"Detect and block adversarial inputs or atypical queries that deviate from known benign behavior, exhibit behavior patterns observed in previous attacks or that come from potentially malicious IPs. Incorporate adversarial detection algorithms into the AI system prior to the AI model.",AML.T0015|AML.T0043.001|AML.T0029|AML.T0031|AML.T0043|AML.T0043.000|AML.T0043.002|AML.T0043.004|AML.T0043.003,https://atlas.mitre.org/mitigations/AML.M0015/,atlas
AML.M0016,Vulnerability Scanning,"Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.  File formats such as pickle files that are commonly used to store AI models can contain exploits that allow for arbitrary code execution. These files should be scanned for potentially unsafe calls, which could be used to execute code, create new processes, or establish networking capabilities. Adversaries may embed malicious code in model corrupt model files, so scanners should be capable of working with models that cannot be fully de-serialized. Model artifacts, downstream products produced by models, and external software dependencies should be scanned for known vulnerabilities.",AML.T0011.000|AML.T0011.001|AML.T0011,https://atlas.mitre.org/mitigations/AML.M0016/,atlas
AML.M0017,AI Model Distribution Methods,"Deploying AI models to edge devices can increase the attack surface of the system. Consider serving models in the cloud to reduce the level of access the adversary has to the model. Also consider computing features in the cloud to prevent gray-box attacks, where an adversary has access to the model preprocessing methods.",AML.T0044|AML.T0043.000|AML.T0010.003|AML.T0048.004|AML.T0035|AML.T0063,https://atlas.mitre.org/mitigations/AML.M0017/,atlas
AML.M0018,User Training,Educate AI model developers to on AI supply chain risks and potentially malicious AI artifacts. Educate users on how to identify deepfakes and phishing attempts.,AML.T0011|AML.T0011.000|AML.T0052|AML.T0052.000|AML.T0011.001|AML.T0052.001,https://atlas.mitre.org/mitigations/AML.M0018/,atlas
AML.M0019,Control Access to AI Models and Data in Production,Require users to verify their identities before accessing a production model. Require authentication for API endpoints and monitor production model queries to ensure compliance with usage policies and to prevent model misuse.,AML.T0040|AML.T0024|AML.T0034|AML.T0043|AML.T0043.001|AML.T0005|AML.T0029|AML.T0051|AML.T0046|AML.T0042|AML.T0063,https://atlas.mitre.org/mitigations/AML.M0019/,atlas
AML.M0020,Generative AI Guardrails,"Guardrails are safety controls that are placed between a generative AI model and the output shared with the user to prevent undesired inputs and outputs. Guardrails can take the form of validators such as filters, rule-based logic, or regular expressions, as well as AI-based approaches, such as classifiers and utilizing LLMs, or named entity recognition (NER) to evaluate the safety of the prompt or response. Domain specific methods can be employed to reduce risks in a variety of areas such as etiquette, brand damage, jailbreaking, false information, code exploits, SQL injections, and data leakage.",AML.T0054|AML.T0056|AML.T0053|AML.T0051|AML.T0057|AML.T0010|AML.T0061|AML.T0062,https://atlas.mitre.org/mitigations/AML.M0020/,atlas
AML.M0021,Generative AI Guidelines,"Guidelines are safety controls that are placed between user-provided input and a generative AI model to help direct the model to produce desired outputs and prevent undesired outputs.  Guidelines can be implemented as instructions appended to all user prompts or as part of the instructions in the system prompt. They can define the goal(s), role, and voice of the system, as well as outline safety and security parameters.",AML.T0054|AML.T0056|AML.T0053|AML.T0051|AML.T0057|AML.T0061|AML.T0062,https://atlas.mitre.org/mitigations/AML.M0021/,atlas
