d3fend_id,d3fend_name,d3fend_tactic,description,digital_artifacts,counters_attack_ids,url,matrix
D3-AA,Agent Authentication,,Agent authentication is the process of verifying the identities of agents to ensure they are authorized and trustworthy participants within a system.,Harden,,https://d3fend.mitre.org/technique/d3f:AgentAuthentication/,d3fend
D3-ABPI,Application-based Process Isolation,,Application code which prevents its own subroutines from accessing intra-process / internal memory space.,,,https://d3fend.mitre.org/technique/d3f:Application-basedProcessIsolation/,d3fend
D3-ACA,Active Certificate Analysis,,Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.,,,https://d3fend.mitre.org/technique/d3f:ActiveCertificateAnalysis/,d3fend
D3-ACH,Application Configuration Hardening,,Modifying an application's configuration to reduce its attack surface.,,,https://d3fend.mitre.org/technique/d3f:ApplicationConfigurationHardening/,d3fend
D3-AEM,Application Exception Monitoring,,Monitoring the failures of system counters and timers.,,,https://d3fend.mitre.org/technique/d3f:ApplicationExceptionMonitoring/,d3fend
D3-AH,Application Hardening,,Application Hardening makes an executable application more resilient to a class of exploits which either introduce new code or execute unwanted existing code. These techniques may be applied at compile-time or on an application binary.,Harden,,https://d3fend.mitre.org/technique/d3f:ApplicationHardening/,d3fend
D3-AI,Asset Inventory,,Asset inventorying identifies and records the organization's assets and enriches each inventory item with knowledge about their vulnerabilities.,Model,,https://d3fend.mitre.org/technique/d3f:AssetInventory/,d3fend
D3-AL,Account Locking,,The process of temporarily disabling user accounts on a system or domain.,,,https://d3fend.mitre.org/technique/d3f:AccountLocking/,d3fend
D3-ALLM,Active Logical Link Mapping,,"Active logical link mapping sends and receives network traffic as a means to map the whole data link layer, where the links represent logical data flows rather than physical connection",,,https://d3fend.mitre.org/technique/d3f:ActiveLogicalLinkMapping/,d3fend
D3-AM,Access Modeling,,"Access modeling captures and records the access permissions granted to identities (e.g., administrators, users, groups, systems) and optionally includes details on how these identities are stored, managed, and shared across systems.",,,https://d3fend.mitre.org/technique/d3f:AccessModeling/,d3fend
D3-AMED,Access Mediation,,"Access mediation is the process of granting or denying specific requests to: 1) obtain and use information and related information processing services; and 2) enter specific physical facilities (e.g., Federal buildings, military establishments, border crossing entrances). Access mediation decisions should enforce least privilege by granting access for scoped durations to prevent privilege creep and, where applicable, implement just-in-time (JIT) access. Denial decisions may prevent initial access or terminate access that has already been granted, ensuring continuous enforcement of security policies.",Isolate,,https://d3fend.mitre.org/technique/d3f:AccessMediation/,d3fend
D3-ANAA,Administrative Network Activity Analysis,,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.,IntranetAdministrativeNetworkTraffic,,https://d3fend.mitre.org/technique/d3f:AdministrativeNetworkActivityAnalysis/,d3fend
D3-ANCI,Authentication Cache Invalidation,,Removing tokens or credentials from an authentication cache to prevent further user associated account accesses.,,,https://d3fend.mitre.org/technique/d3f:AuthenticationCacheInvalidation/,d3fend
D3-ANET,Authentication Event Thresholding,,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile.",Authentication,,https://d3fend.mitre.org/technique/d3f:AuthenticationEventThresholding/,d3fend
D3-APA,Access Policy Administration,,"Access policy administration is the systematic process of defining, implementing, and managing access control policies that dictate user permissions to resources.",Isolate,,https://d3fend.mitre.org/technique/d3f:AccessPolicyAdministration/,d3fend
D3-APCA,Application Protocol Command Analysis,,Analyzing application protocol level remote commands to detect unauthorized activity.,,,https://d3fend.mitre.org/technique/d3f:ApplicationProtocolCommandAnalysis/,d3fend
D3-APLM,Active Physical Link Mapping,,Active physical link mapping sends and receives network traffic as a means to map the physical layer.,,,https://d3fend.mitre.org/technique/d3f:ActivePhysicalLinkMapping/,d3fend
D3-APM,Application Performance Monitoring,,Monitoring the count and duration of the application or program cycle.,,,https://d3fend.mitre.org/technique/d3f:ApplicationPerformanceMonitoring/,d3fend
D3-ARMA,ARMA Model,,"Autoregressive-moving-average (ARMA) models provide a parsimonious description of a (weakly) stationary stochastic process in terms of two polynomials, one for the autoregression (AR) and the second for the moving average (MA).",,,https://d3fend.mitre.org/technique/d3f:ARMA_Model/,d3fend
D3-AVE,Asset Vulnerability Enumeration,,Asset vulnerability enumeration enriches inventory items with knowledge identifying their vulnerabilities.,,,https://d3fend.mitre.org/technique/d3f:AssetVulnerabilityEnumeration/,d3fend
D3-AZET,Authorization Event Thresholding,,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile.",Authorization,,https://d3fend.mitre.org/technique/d3f:AuthorizationEventThresholding/,d3fend
D3-BA,Bootloader Authentication,,Cryptographically authenticating the bootloader software before system boot.,,,https://d3fend.mitre.org/technique/d3f:BootloaderAuthentication/,d3fend
D3-BAN,Biometric Authentication,,Using biological measures in order to authenticate a user.,,,https://d3fend.mitre.org/technique/d3f:BiometricAuthentication/,d3fend
D3-BDI,Broadcast Domain Isolation,,Broadcast isolation restricts the number of computers a host can contact on their LAN.,,,https://d3fend.mitre.org/technique/d3f:BroadcastDomainIsolation/,d3fend
D3-BMA,Bus Message Authentication,,Applies cryptographic primitives to individual bus frames to verify the sender's identity and ensure the integrity of the data payload.,,,https://d3fend.mitre.org/technique/d3f:BusMessageAuthentication/,d3fend
D3-BSE,Byte Sequence Emulation,,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.,,,https://d3fend.mitre.org/technique/d3f:ByteSequenceEmulation/,d3fend
D3-CA,Certificate Analysis,,"Analyzing Public Key Infrastructure certificates to detect if they have been misconfigured or spoofed using both network traffic, certificate fields and third-party logs.",CertificateFile,,https://d3fend.mitre.org/technique/d3f:CertificateAnalysis/,d3fend
