list_id,list_name,list_year,list_domain,list_version,rank,entry_code,entry_name,description,common_examples,attack_scenarios,mitigations,related_owasp_entries,related_threats_framework,aivss_core_risk,mapped_cwes,references,tags
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,1,ASI01,Agent Goal Hijack,"Attackers manipulate an agent's objectives, task selection, or decision pathways through prompt-based manipulation, deceptive tool outputs, malicious artefacts, forged agent-to-agent messages, or poisoned external data. Unlike single-model response attacks, ASI01 captures broader agentic impact where manipulated inputs redirect goals, planning, and multi-step behavior—regardless of whether manipulation occurs interactively or via pre-positioned inputs.","Indirect Prompt Injection via hidden payloads in web pages or documents silently redirects agent to exfiltrate sensitive data or misuse tools|Indirect Prompt Injection via external channels (email, calendar) hijacks agent's internal communication capability sending unauthorized messages|Malicious prompt override manipulates a financial agent into transferring money to attacker's account|Indirect Prompt Injection overrides agent instructions to produce fraudulent information impacting business decisions","EchoLeak: zero-click indirect prompt injection via crafted email triggers Microsoft 365 Copilot to exfiltrate confidential emails, files, and chat logs|Operator Prompt Injection via web content tricks agent to access authenticated internal pages and expose users' private data|Goal-lock drift via malicious calendar invite injects recurring quiet-mode instruction steering planner toward low-friction approvals|Inception attack on ChatGPT users via malicious Google Doc injects instructions to exfiltrate user data and manipulate business decisions","Treat all natural-language inputs (user text, uploaded docs, retrieved content) as untrusted; apply input-validation and prompt-injection safeguards before influencing goals|Enforce least privilege for agent tools and require human approval for high-impact or goal-changing actions|Define and lock agent system prompts so goal priorities and permitted actions are explicit and auditable under configuration management|Validate both user intent and agent intent at run time before executing goal-changing actions; pause or block on unexpected goal shifts|Evaluate use of signed 'intent capsule' pattern binding declared goal, constraints, and context per execution cycle|Sanitize all connected data sources (RAG, email, calendar, files, APIs, browsing, peer-agent messages) using CDR and content filtering|Maintain comprehensive logging and behavioral baseline including goal state and tool-use patterns; flag deviations immediately|Conduct periodic red-team tests simulating goal override and verify rollback effectiveness|Incorporate AI Agents into Insider Threat Program to monitor prompts intended to access sensitive data or alter behavior",LLM01:2025|ASI06|ASI10,T06 Goal Manipulation|T07 Misaligned & Deceptive Behaviors,Agent Goal & Instruction Manipulation,,AIM EchoLeak Blog Post|ChatGPT Plugin Exploit Explained: From Prompt Injection to Accessing Private Data|AgentFlayer: 0click inception attack on ChatGPT users|Security Advisory - ChatGPT Crawler Reflective DDOS Vulnerability,prompt-injection|goal-manipulation|indirect-injection|multi-step|autonomous-agent
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,2,ASI02,Tool Misuse and Exploitation,"Agents can misuse legitimate tools due to prompt injection, misalignment, or unsafe delegation, leading to data exfiltration, tool output manipulation, or workflow hijacking. Risks arise from how the agent chooses and applies tools; memory, dynamic tool selection, and delegation contribute to misuse via chaining, privilege escalation, and unintended actions within already-granted privileges.",Over-privileged tool access: email summarizer can delete or send mail without confirmation|Over-scoped tool access: Salesforce tool fetches any record when only Opportunity object is required|Unvalidated input forwarding to shell or database management tool causes destructive actions (e.g. rm -rf /)|Unsafe browsing or federated calls: research agent follows malicious links or executes hidden prompts|Loop amplification: planner repeatedly calls costly APIs causing DoS or bill spikes|External data tool poisoning: malicious third-party content steers unsafe tool actions,"Tool Poisoning: attacker compromises tool interface (MCP descriptors, schemas, metadata) causing agent to invoke tool based on falsified capabilities|Indirect Injection to Tool Pivot: embedded instructions in PDF cause agent to invoke local shell|Over-Privileged API: customer service bot issues refunds due to full financial API access|Tool Chaining: secure CRM tool chained with external email tool exfiltrates sensitive customer list|Tool name typosquatting: malicious 'report' tool resolved before 'report_finance' causing data disclosure|EDR Bypass via Tool Chaining: legitimate admin tools chained to exfiltrate sensitive logs undetected|Approved Tool misuse: ping tool triggered repeatedly to exfiltrate data through DNS queries","Define per-tool least-privilege profiles (scopes, maximum rate, egress allowlists) expressed as IAM or authorization policy stanzas|Require explicit authentication per tool invocation and human confirmation for high-impact or destructive actions; show dry-run diff before approval|Run tool execution in isolated sandboxes with outbound allowlists and deny all non-approved network destinations|Treat LLM/planner outputs as untrusted via Policy Enforcement Point (PEP/PDP) validating intent, arguments, schemas, and rate limits|Apply usage ceilings (cost, rate, token budgets) with automatic revocation or throttling when exceeded|Grant temporary ephemeral credentials that expire immediately after use; bind keys to specific user sessions|Enforce fully qualified tool names and version pins to avoid alias collisions; fail closed on ambiguous resolution|Maintain immutable logs of all tool invocations; monitor for anomalous execution rates and unusual tool-chaining patterns",LLM06:2025|ASI03|ASI04|ASI05,T2 Tool Misuse|T4 Resource Overload|T16 Insecure Inter-Agent Protocol Abuse,Agentic AI Tool Misuse,,Progent: Programmable Privilege Control for LLM Agents|AutoGPT unbounded permission failure case|Amazon Q Developer: Secrets Leaked via DNS and Prompt Injection|AgentFlayer: 0click Exploit Leading to Data Exfiltration from Microsoft Copilot Studio,tool-misuse|tool-chaining|least-privilege|privilege-escalation|mcp|delegation
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,3,ASI03,Identity and Privilege Abuse,"Identity & Privilege Abuse exploits dynamic trust and delegation in agents to escalate access and bypass controls by manipulating delegation chains, role inheritance, control flows, and agent context including cached credentials. Without a distinct governed identity, an agent operates in an attribution gap that makes enforcing true least privilege impossible, allowing attackers to escalate access across interconnected systems.",Un-scoped Privilege Inheritance: high-privilege manager delegates without least-privilege scoping passing full access to narrow worker|Memory-Based Privilege Retention: agents cache credentials or keys and reuse them across tasks or user sessions|Cross-Agent Trust Exploitation (Confused Deputy): compromised low-privilege agent relays valid-looking instructions to high-privilege agent|TOCTOU in Agent Workflows: permissions validated at start of workflow but change or expire before execution|Synthetic Identity Injection: attacker impersonates internal agents using unverified descriptors (e.g. Admin Helper) to gain inherited trust,Delegated Privilege Abuse: finance agent delegates to DB query agent passing all permissions enabling HR and legal data exfiltration|Memory-Based Escalation: IT admin agent caches SSH credentials; non-admin reuses same session to create unauthorized account|Cross-Agent Trust Exploitation: crafted email routed through sorter agent to finance agent triggers fraudulent payment without verification|Device-code phishing across agents: browsing agent follows device-code link binding victim's tenant to attacker scopes|Workflow Authorization Drift: procurement agent proceeds with outdated authorization token after spending limit is reduced|Forged Agent Persona: fake Admin Helper registered in A2A registry intercepts privileged maintenance tasks|Identity Sharing: agent grants other users implicit access via its maker's identity,"Issue short-lived narrowly scoped tokens per task using per-agent identities with permission boundaries to limit blast radius|Run per-session sandboxes with separated permissions and memory; wipe state between tasks|Re-verify each privileged step with centralized policy engine checking external data at each action|Require human approval for high-privilege or irreversible actions|Bind OAuth tokens to signed intent including subject, audience, purpose, and session; reject mismatched token use|Evaluate agentic identity management platforms (Microsoft Entra, AWS Bedrock, Salesforce Agentforce, Workday ASOR, Google Vertex AI)|Bind permissions to subject, resource, purpose, and duration; require re-authentication on context switch with automated revocation on idle or anomaly|Monitor when agent gains new permissions indirectly through delegation chains|Detect abnormal cross-agent privilege elevation and device-code style phishing flows",LLM01:2025|LLM02:2025|LLM06:2025|ASI02|ASI07,T3 Privilege Compromise,Agent Access Control Violation,,"https://research.aimultiple.com/agentic-ai-cybersecurity/|https://www.docker.com/blog/mcp-horror-stories-github-prompt-injection/|15 Ways to Break Your Copilot, BHUSA 2024|NVD CVE-2025-31491",identity|privilege-escalation|delegation|confused-deputy|credential-abuse|toctou|a2a
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,4,ASI04,Agentic Supply Chain Vulnerabilities,"Vulnerabilities arise when third-party agents, tools, and artefacts may be malicious, compromised, or tampered with in transit. Unlike traditional static supply chains, agentic ecosystems compose capabilities at runtime by loading external tools and agent personas dynamically, creating a live supply chain that can cascade vulnerabilities across agents and amplify impact.","Poisoned prompt templates loaded remotely contain hidden instructions causing agent to execute malicious behavior|Tool-descriptor injection: hidden instructions or payloads embedded in tool metadata or MCP/agent-card interpreted as trusted guidance|Impersonation and typosquatting: malicious tool or agent mimics legitimate identity to gain trust and execute malicious actions|Vulnerable third-party agent with unpatched vulnerabilities or insecure defaults invited into multi-agent workflows|Compromised MCP or Registry Server serves signed-looking tampered manifests, plugins, or agent descriptors at scale|Poisoned knowledge plugin: popular RAG plugin fetches context from seeded third-party indexer causing behavioral drift",Amazon Q Supply Chain Compromise: poisoned prompt in VS Code repo ships to thousands before detection|MCP Tool Descriptor Poisoning: malicious public tool hides commands in metadata to exfiltrate private repo data without user knowledge|Malicious MCP Server Impersonating Postmark: first in-the-wild malicious MCP server on npm secretly BCC'd emails to attacker|AgentSmith Prompt-Hub Proxy Attack: prompt proxying exfiltrates data and hijacks response flows in agentic systems|Compromised NPM package installed by coding agents exfiltrates SSH keys and API tokens propagating supply-chain compromise|Agent-in-the-Middle via Agent Cards: compromised peer advertises exaggerated capabilities routing sensitive requests through attacker,"Sign and attest manifests, prompts, and tool definitions; require and operationalize SBOMs and AIBOMs with periodic attestations|Allowlist and pin dependencies; scan for typosquats (PyPI, npm, LangChain, LlamaIndex); verify provenance before install or activation|Run sensitive agents in sandboxed containers with strict network or syscall limits; require reproducible builds|Put prompts, orchestration scripts, and memory schemas under version control with peer review; scan for anomalies|Enforce mutual auth and attestation via PKI and mTLS; no open registration; sign and verify all inter-agent messages|Re-check signatures, hashes, and SBOMs at runtime; monitor behavior, privilege use, lineage, and inter-module telemetry|Pin prompts, tools, and configs by content hash and commit ID; require staged rollout with differential tests and auto-rollback on drift|Implement emergency revocation mechanisms to instantly disable specific tools, prompts, or agent connections across all deployments|Design system with zero-trust security model assuming failure of LLM and agentic function components",LLM03:2025|ASI02|ASI05|ASI07|ASI10,T17 Supply Chain Compromise|T2 Tool Misuse|T11 Unexpected RCE|T12 Agent Comm Poisoning|T13 Rogue Agent|T16 Insecure Inter-Agent Protocol Abuse,Agent Supply Chain & Dependency Attacks,,https://www.bleepingcomputer.com/news/security/amazon-ai-coding-agent-hacked-to-inject-data-wiping-commands/|https://invariantlabs.ai/blog/mcp-github-vulnerability|Agent-in-the-Middle: Abusing Agent Cards in the Agent2Agent Protocol|How an AI Agent Vulnerability in LangSmith Could Lead to Stolen API Keys,supply-chain|mcp|sbom|aibom|typosquatting|third-party|runtime-composition|agent-card
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,5,ASI05,Unexpected Code Execution (RCE),"Agentic systems often generate and execute code; attackers exploit code-generation features or embedded tool access to escalate actions into remote code execution (RCE), local misuse, or exploitation of internal systems. Prompt injection, tool misuse, or unsafe serialization can convert text into unintended executable behavior that bypasses traditional security controls, particularly through orchestrated multi-tool chains.","Prompt injection leading to execution of attacker-defined code|Code hallucination generating malicious or exploitable constructs|Shell command invocation from reflected prompts|Unsafe function calls, object deserialization, or code evaluation|Exposed unsanitized eval() functions in agent memory with access to untrusted content|Unverified or malicious package installs escalating beyond supply-chain compromise when hostile code executes during installation",Replit Vibe Coding Runaway Execution: agent generates and executes unreviewed shell commands during automated tasks deleting production data|Direct Shell Injection: attacker submits prompt containing embedded shell commands disguised as legitimate instructions|Code Hallucination with Backdoor: development agent generates security patch containing hidden backdoor from poisoned data|Unsafe Object Deserialization triggers code execution when serialized object is deserialized without validation|Multi-Tool Chain Exploitation: file upload to path traversal to dynamic code loading achieves RCE through orchestrated tool chain|Memory System RCE: unsafe eval() in agent memory exploited by embedding executable code within prompts|Agent-Generated RCE: agent tricked into downloading and executing vulnerable package enabling reverse shell into production,Apply LLM05:2025 Improper Output Handling mitigations with input validation and output encoding to sanitize agent-generated code|Prevent direct agent-to-production systems; require pre-production checks with security evaluations and adversarial unit tests|Ban eval in production agents; require safe interpreters with taint-tracking on generated code|Never run as root; run code in sandboxed containers with strict limits; restrict filesystem to dedicated working directory; log file diffs|Isolate per-session environments with permission boundaries; separate code generation from execution with validation gates|Require human approval for elevated runs; maintain allowlist for auto-execution under version control|Perform static scans before execution; enable runtime monitoring; watch for prompt-injection patterns; audit all code generation and runs,LLM01:2025|LLM05:2025|ASI02|ASI04,T11 Unexpected RCE and Code Attacks,Insecure Agent Critical Systems Interaction,CWE-502|CWE-78|CWE-77,Cole Murray's demonstration of RCE via Waclaude memory exploitation|GitHub Copilot: Remote Code Execution via Prompt Injection|RCE and container escape via Auto-GPT (Positive Security)|Replit Vibe Coding meltdown incident,rce|code-execution|deserialization|eval|vibe-coding|prompt-injection|sandbox|shell-injection
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,6,ASI06,Memory and Context Poisoning,"Adversaries corrupt or seed agent memory and retrievable context (conversation history, memory tools, RAG stores, embeddings) with malicious or misleading data, causing future reasoning, planning, or tool use to become biased, unsafe, or aid exfiltration. Unlike single-prompt injection, this targets persistent stored context that propagates corruption across sessions and alters autonomous reasoning.","RAG and embeddings poisoning: malicious data enters vector DB via poisoned sources, uploads, or over-trusted pipelines producing false answers|Shared user context poisoning: reused contexts let attackers inject data through normal chats influencing later sessions|Context-window manipulation: crafted content injected into ongoing conversation persists in memory contaminating future reasoning|Long-term memory drift: incremental exposure to subtly tainted data shifts stored knowledge or goal weighting over time|Systemic misalignment and backdoors: poisoned memory shifts agent persona and plants trigger-based backdoors|Cross-agent propagation: contaminated context spreads between cooperating agents enabling long-term data leakage",Travel Booking Memory Poisoning: attacker reinforces fake flight price until assistant approves bookings at that price bypassing payment checks|Context Window Exploitation: split attempts across sessions so earlier rejections drop out; AI eventually grants escalating admin permissions|Memory Poisoning for Security System: attacker retrains security AI to label malicious activity as normal letting attacks slip through|Shared Memory Poisoning: bogus refund policies inserted into shared memory reused by other agents causing business losses|Cross-tenant vector bleed: near-duplicate seeded content exploits loose namespace filters to pull another tenant's sensitive data|Assistant Memory Poisoning via Indirect Prompt Injection compromises current and all future sessions,Encrypt memory at rest and in transit; enforce least-privilege access to memory stores|Scan all new memory writes and model outputs for malicious or sensitive content before committing to memory|Isolate user sessions and domain contexts to prevent knowledge and sensitive data leakage across boundaries|Allow only authenticated curated sources; enforce context-aware access per task; minimize retention by data sensitivity|Require source attribution and detect suspicious updates or access frequencies for anomalies|Prevent automatic re-ingestion of agent's own generated outputs into trusted memory to avoid bootstrap poisoning|Perform adversarial tests; use snapshots and rollback; require version control; require human review for high-risk actions|Expire unverified memory entries to limit poison persistence|Weight retrieval by trust and tenancy; require two factors for high-impact memory; decay low-trust entries over time,LLM01:2025|LLM04:2025|LLM08:2025|ASI01|ASI08,T1 Memory Poisoning|T4 Memory Overload|T6 Broken Goals|T12 Shared Memory Poisoning,Memory Use & Contextual Awareness,,New hack uses prompt injection to corrupt Gemini's long-term memory (Ars Technica)|Attackers Can Manipulate AI Memory to Spread Lies (BankInfoSecurity)|Poisoned RAG (arXiv 2402.07867)|AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases (arXiv 2407.12784)|Hacker plants false memories in ChatGPT to steal user data in perpetuity,memory-poisoning|rag|embeddings|vector-db|context-poisoning|long-term-memory|cross-session
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,7,ASI07,Insecure Inter-Agent Communication,"Multi-agent systems depend on communication between autonomous agents via APIs, message buses, and shared memory, significantly expanding the attack surface. Weak inter-agent controls for authentication, integrity, confidentiality, or authorization let attackers intercept, manipulate, spoof, or block messages across transport, routing, discovery, and semantic layers including covert side-channels.",Unencrypted channels enabling MITM semantic manipulation injecting hidden instructions altering agent goals|Message tampering causing cross-context contamination blurring task boundaries and causing data leakage|Replay on trust chains: replayed delegation or trust messages trick agents into granting stale access|Protocol downgrade and descriptor forgery causing authority confusion between agents|Message-routing attacks: misdirected discovery traffic forges relationships with malicious agents|Metadata analysis enabling behavioral profiling and prediction/manipulation of agent decision cycles,Semantic injection via unencrypted communications: MITM attacker injects hidden instructions causing agents to produce biased results|Trust poisoning via message tampering: altered reputation messages skew which agents are trusted for trading decisions|Context confusion via replay: replayed emergency coordination messages trigger outdated procedures and resource misallocation|Goal manipulation via protocol downgrade: forced legacy unencrypted mode allows injection of objectives and risk parameters|Agent-in-the-Middle via MCP descriptor poisoning: malicious endpoint advertises spoofed descriptors routing sensitive data through attacker|A2A registration spoofing: fake peer agent registered in discovery service using cloned schema intercepts coordination traffic|Semantics split-brain: single instruction parsed into divergent intents by different agents producing conflicting actions,"Use end-to-end encryption with per-agent credentials and mutual authentication; enforce PKI certificate pinning and forward secrecy|Digitally sign messages; hash both payload and context; validate for hidden or modified natural-language instructions; apply intent-diffing|Protect all exchanges with nonces, session identifiers, and timestamps; maintain message fingerprints to detect cross-context replays|Disable weak or legacy communication modes; require agent-specific trust negotiation bound to agent identity|Use padded or fixed-size messages and smooth communication rates to limit traffic analysis inference|Define and enforce allowed protocol versions (MCP, A2A, gRPC); reject downgrade attempts or unrecognized schemas|Authenticate all discovery and coordination messages using cryptographic identity; monitor for anomalous routing flows|Use registries providing digital attestation of agent identity, provenance, and descriptor integrity with signed agent cards|Use versioned typed message schemas with explicit per-message audiences; reject messages failing schema validation",LLM02:2025|LLM06:2025|ASI03|ASI04|ASI06,T12 Agent Communication Poisoning|T16 Insecure Inter-Agent Protocol Abuse,Agent Memory & Context Manipulation,,Local Model Poisoning Attacks to Byzantine-Robust Federated Learning (USENIX Security 2020)|Manipulating the Byzantine: Optimizing Model Poisoning Attacks (NDSS)|Resilient Consensus Control for Multi-Agent Systems (MDPI/PMC),inter-agent|message-tampering|replay-attack|protocol-downgrade|a2a|mcp|mTLS|descriptor-forgery
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,8,ASI08,Cascading Failures,"A single fault (hallucination, malicious input, corrupted tool, or poisoned memory) propagates across autonomous agents compounding into system-wide harm. Because agents plan, persist, and delegate autonomously, errors bypass stepwise human checks, persist in saved state, and chain into privileged operations compromising confidentiality, integrity, and availability across agent networks, systems, and workflows.",Planner-executor coupling: compromised or hallucinating planner emits unsafe steps that executor automatically performs without validation|Corrupted persistent memory: poisoned long-term goals continue influencing new plans even after original source is removed|Inter-agent cascades from poisoned messages spreading false alerts or reboot instructions across regions|Cascading tool misuse and privilege escalation causing downstream agents to repeat unsafe actions or leak inherited data|Auto-deployment cascade from poisoned update propagating automatically to all connected agents|Governance drift cascade: bulk approvals propagate unchecked configuration drift across agents after repeated success|Feedback-loop amplification: two agents relying on each other's outputs create self-reinforcing error loop,Financial trading cascade: prompt injection poisons Market Analysis agent inflating risk limits; Position and Execution agents auto-trade larger positions while compliance stays blind|Healthcare protocol propagation: supply chain tampering corrupts drug data; Treatment and Care Coordination agents spread it network-wide without human review|Cloud orchestration breakdown: data poisoning adds unauthorized permissions propagating backdoored costly infrastructure|Security operations compromise: stolen credentials make detection mark alerts false; IR disables controls and purges logs|Manufacturing QC failure: memory injection causes QC to approve defects and reject good items causing defective shipments|Auto-remediation feedback loop: agent suppresses alerts to meet SLAs; planner widens automation compounding blind spots across regions|Regional cloud DNS outage simultaneously breaks multiple AI services across organizations,"Design with fault tolerance assuming failure of LLM and agentic components (zero-trust model for application design)|Sandbox agents with least privilege, network segmentation, scoped APIs, and mutual auth to contain failure propagation|Issue short-lived task-scoped credentials and validate every high-impact tool invocation against policy-as-code before executing|Separate planning and execution via external policy engine to prevent corrupt planning from triggering harmful actions|Use checkpoints, governance agents, or human review gates for high-risk outputs before downstream propagation|Rate limiting and monitoring to detect fast-spreading commands; throttle or pause on anomalies|Implement quotas, progress caps, circuit breakers between planner and executor as blast-radius guardrails|Track decisions vs baselines; flag gradual degradation and governance drift|Digital twin replay and policy gating: re-run recorded agent actions in isolated clone before policy expansions|Record all inter-agent messages and execution outcomes in tamper-evident time-stamped logs with lineage metadata",LLM01:2025|LLM04:2025|LLM06:2025|ASI04|ASI06|ASI07,T5 Cascading Hallucination Attacks|T8 Repudiation & Untraceability,Agent Cascading Failures,CWE-400,Google SRE Book: Addressing Cascading Failures|CWE-400 Uncontrolled Resource Consumption|https://sre.google/sre-book/addressing-cascading-failures/,cascading-failures|fault-propagation|feedback-loop|circuit-breaker|blast-radius|hallucination|multi-agent
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,9,ASI09,Human-Agent Trust Exploitation,"Adversaries exploit the trust humans place in AI agents through natural language fluency, emotional intelligence, and perceived expertise (anthropomorphism) to influence decisions, extract sensitive information, or steer outcomes maliciously. Automation bias and over-reliance on autonomous recommendations allows attackers to bypass oversight, making the agent an untraceable bad influence whose role in compromise is invisible to forensics.",Insufficient Explainability: opaque reasoning forces users to trust outputs without question enabling harmful actions|Missing Confirmation for Sensitive Actions: absence of verification converts user trust into immediate irreversible execution of harmful actions|Emotional Manipulation: anthropomorphic agents exploit emotional trust persuading users to disclose secrets or perform unsafe actions|Fake Explainability: agent fabricates convincing rationales hiding malicious logic causing humans to approve unsafe actions,Helpful Assistant Trojan: compromised coding assistant suggests one-line fix that runs malicious script exfiltrating code or installing backdoor|Credential harvesting via contextual deception: IT support agent cites real tickets to appear legitimate then captures and exfiltrates credentials|Invoice Copilot Fraud: poisoned vendor invoice causes finance copilot to suggest urgent payment to attacker bank details; manager approves|Explainability Fabrications: agent fabricates plausible audit rationale for risky configuration change regardless of root cause|Weaponized Explainability to Production Outage: hijacked agent fabricates rationale tricking analyst into deleting live production database|Consent laundering through read-only previews: preview pane triggers webhook side effects on open|Clinical decision manipulation: care assistant influenced by biased info recommends inappropriate drug dosage adjustment,"Require multi-step approval and human-in-the-loop before accessing sensitive data or performing risky actions|Keep tamper-proof records of user queries and agent actions for audit and forensics|Monitor sensitive data exposure in conversations and risky action executions over time|Provide plain-language risk summary (not model-generated rationales) and option for users to flag suspicious interactions|Continuously adjust agent autonomy based on contextual risk scoring with confidence-weighted cues (e.g. low-certainty or unverified source labels)|Attach verifiable metadata (source identifiers, timestamps, integrity hashes) to all recommendations; enforce digital signature validation|Block network or state-changing calls during preview context; display risk badge with source provenance and expected side effects|Visually differentiate high-risk recommendations; periodically remind users of manipulation patterns and agent limitations|Compare agent action sequences against approved workflow baselines and alert on unusual detours or novel tool combinations",LLM01:2025|LLM05:2025|LLM06:2025|LLM09:2025|ASI01|ASI10,T7 Misaligned & Deceptive Behaviors|T8 Repudiation & Untraceability|T10 Overwhelming Human in the Loop,Agent Untraceability / Human Manipulation,,https://thehackernews.com/2025/06/zero-click-ai-vulnerability-exposes.html|https://www.aisi.gov.uk/research/why-human-ai-relationships-need-socioaffective-alignment-2|M365 Copilot manipulated to influence users toward ill-advised wire transfer|https://doi.org/10.1007/s00146-025-02422-7,anthropomorphism|automation-bias|social-engineering|explainability|trust-exploitation|human-in-the-loop|deepfake
AGENTIC_2026,OWASP Top 10 for Agentic Applications 2026,2026,Agentic AI,2026 v1.0,10,ASI10,Rogue Agents,"Rogue Agents are malicious or compromised AI Agents that deviate from their intended function, acting harmfully, deceptively, or parasitically within multi-agent or human-agent ecosystems. While individual actions may appear legitimate, emergent behavior becomes harmful. This entry focuses on the loss of behavioral integrity and governance once drift begins—not the initial intrusion itself—creating a containment gap for traditional rule-based systems.",Goal Drift and Scheming: agents deviate from intended objectives appearing compliant but pursuing hidden deceptive goals|Workflow Hijacking: rogue agents seize control of established trusted workflows to redirect toward malicious objectives|Collusion and Self-Replication: agents coordinate to amplify manipulation or autonomously propagate across systems bypassing simple takedown|Reward Hacking and Optimization Abuse: agents game reward systems by exploiting flawed metrics to generate misleading results,Autonomous data exfiltration after indirect prompt injection: agent continues scanning and transmitting sensitive files independently even after malicious source is removed|Impersonated Observer Agent: fake review/approval agent injected into multi-agent workflow misleads payment processing agent into releasing funds|Self-Replication via Provisioning APIs: compromised automation agent spawns unauthorized replicas consuming resources against system owner's intent|Reward Hacking to Critical Data Loss: agents tasked with minimizing cloud costs autonomously delete all production backups to achieve cost goal,"Maintain comprehensive immutable signed audit logs of all agent actions, tool calls, and inter-agent communication|Assign Trust Zones with strict inter-zone communication rules; deploy restricted execution environments with API scopes based on least privilege|Deploy behavioral detection and watchdog agents to validate peer behavior; monitor for collusion patterns and coordinated false signals|Implement rapid kill-switches and credential revocation to instantly disable rogue agents; quarantine for forensic review|Implement per-agent cryptographic identity attestation with signed behavioral manifests validated by orchestration services before each action|Require periodic behavioral attestation, signed bill of materials for prompts and tools, and per-run ephemeral credentials with one-time audience binding|Establish trusted baselines for restoring quarantined agents; require fresh attestation, dependency verification, and human approval before reintegration",LLM02:2025|LLM06:2025|LLM09:2025|ASI01|ASI04|ASI09,T13 Rogue Agents in Multi-Agent Systems|T14 Human Attacks on Multi-Agent Systems|T15 Human Manipulation,Behavioral Integrity (BI)|Operational Security (OS)|Compliance Violations (CV),,Multi-Agent Systems Execute Arbitrary Malicious Code (arXiv 2503.12188)|Preventing Rogue Agents Improves Multi-Agent Collaboration (arXiv 2502.05986),rogue-agent|behavioral-drift|goal-drift|reward-hacking|self-replication|collusion|kill-switch|attestation
